Date,Description,Amount
2026-01-01,PAYROLL - ACME LLC STAFF,-8200
2026-01-02,ACME SUPPLIES CO - INVOICE,-3050
2026-01-06,OFFICE SUPPLIES DEPOT,-95.4
2026-01-10,OFFICE LEASE - RENT,-2500
2026-01-11,AMZN MKTP US*2F3QK,-45.2
2026-01-14,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-01-18,CUSTOMER PAYMENT - HARBOR RETAIL,5200
2026-02-01,PAYROLL - ACME LLC STAFF,-8200
2026-02-01,ACME SUPPLIES CO - INVOICE,-3050
2026-02-09,CUSTOMER PAYMENT - BLUE OAK CO,6100
2026-02-10,OFFICE LEASE - RENT,-2500
2026-02-11,COURIER EXPRESS DELIVERY,-42
2026-02-13,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-02-22,AMZN MKTP US*8G1RT,-32.1
2026-02-27,CUSTOMER PAYMENT - NORTHWIND LTD,4800
2026-03-01,PAYROLL - ACME LLC STAFF,-8200
2026-03-03,ACME SUPPLIES CO - INVOICE,-3050
2026-03-04,PRINT SHOP INVOICE,-128.5
2026-03-10,OFFICE LEASE - RENT,-2500
2026-03-15,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-03-15,CUSTOMER PAYMENT - SILVERLINE INC,7200
2026-04-01,PAYROLL - ACME LLC STAFF,-8200
2026-04-02,ACME SUPPLIES CO - INVOICE,-3050
2026-04-02,AMZN MKTP US*K91QZ,-78.4
2026-04-06,CUSTOMER PAYMENT - DELTA MARKET,5600
2026-04-09,COFFEE SHOP DOWNTOWN,-18.75
2026-04-10,OFFICE LEASE - RENT,-2500
2026-04-14,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-04-24,CUSTOMER PAYMENT - PINEWOOD CO,6400
2026-05-01,PAYROLL - ACME LLC STAFF,-8200
2026-05-02,ACME SUPPLIES CO - INVOICE,-3050
2026-05-10,OFFICE LEASE - RENT,-2500
2026-05-11,CUSTOMER PAYMENT - HARBOR RETAIL,5900
2026-05-14,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-05-20,PARKING GARAGE DOWNTOWN,-60
2026-06-01,PAYROLL - ACME LLC STAFF,-8200
2026-06-01,ACME SUPPLIES CO - INVOICE,-3050
2026-06-02,CUSTOMER PAYMENT - CASCADE GOODS,7000
2026-06-10,OFFICE LEASE - RENT,-2500
2026-06-13,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-06-13,OFFICE SUPPLIES DEPOT,-110.25
2026-06-20,CUSTOMER PAYMENT - BLUE OAK CO,5300
2026-06-28,AMZN MKTP US*4RT2M,-19.99
2026-07-01,PAYROLL - ACME LLC STAFF,-8200
2026-07-01,ACME SUPPLIES CO - INVOICE,-3050
2026-07-08,CUSTOMER PAYMENT - NORTHWIND LTD,6700
2026-07-10,OFFICE LEASE - RENT,-2500
2026-07-13,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-07-17,COURIER EXPRESS DELIVERY,-55
2026-07-25,CUSTOMER PAYMENT - SILVERLINE INC,6100
2026-07-31,ACME SUPPLIES CO - INVOICE,-3050
2026-08-01,PAYROLL - ACME LLC STAFF,-8200
2026-08-05,CUSTOMER PAYMENT - CASCADE GOODS,7400
2026-08-10,OFFICE LEASE - RENT,-2500
2026-08-12,CLOUDLINE HOSTING SUBSCRIPTION,-180
2026-08-14,AMZN MKTP US*7YXQ1,-63.75
2026-08-19,CUSTOMER PAYMENT - PINEWOOD CO,5800
2026-08-22,PRINT SHOP INVOICE,-95
2026-08-30,ACME SUPPLIES CO - INVOICE,-3050
2026-09-01,PAYROLL - ACME LLC STAFF,-8200
2026-09-02,CUSTOMER PAYMENT - HARBOR RETAIL,6900
2026-09-10,OFFICE LEASE - RENT,-2500
2026-09-11,CLOUDLINE HOSTING SUBSCRIPTION,-180
